1. Sales Overview Analysis,,,,,,,,,5. Profitability Analysis,,,,
,,,,,,,,,,,,,
Question: What is the total revenue generated across all transactions?,,,,,,,,,Question: What is the total profit generated?,,,,
,,,,,,,,,,,,,
Transaction Mode,Total Revenue,,,,,,,,Sum of Total profit,,,,
Apple Pay," 13,04,60,342.05 ",,,,,,,," 28,53,48,17,13,150.96 ",,,,
Cash," 12,96,23,764.88 ",,,,,,,,,,,,
Credit Card," 12,98,74,180.38 ",,,,,,,,,,,,
Debit Card," 13,05,29,339.42 ",,,,,,,,Question: Which bike model is the most profitable?,,,,
Google Pay," 12,95,57,017.18 ",,,,,,,,,,,,
PayPal," 12,83,89,591.04 ",,,,,,,,,,,,
,,,,,,,,,Bike Model, Total profit,,,
,,,,,,,,,BMX," 4,10,25,84,78,364.07 ",,,
Question: Which store location generated the highest revenue?,,,,,,,,,Cruiser," 4,09,35,01,08,050.68 ",,,
,,,,,,,,,Electric Bike," 4,02,47,12,33,415.02 ",,,
,,,,,,,,,Folding Bike," 4,05,94,81,79,643.57 ",,,
Store Location,Total Revenue,,,,,,,,Hybrid Bike," 4,16,23,62,21,016.78 ",,,
New York," 11,35,92,473.94 ",,,,,,,,Mountain Bike," 4,02,70,27,47,062.43 ",,,
Phoenix," 11,18,60,419.61 ",,,,,,,,Road Bike," 4,06,51,47,45,598.41 ",,,
Philadelphia," 11,17,65,829.45 ",,,,,,,,,,,,
Houston," 11,04,27,042.39 ",,,,,,,,,,,,
Chicago," 11,03,88,139.04 ",,,,,,,,Question: Which store location has the highest profit margin?,,,,
Los Angeles," 11,03,40,851.08 ",,,,,,,,,,,,
San Antonio," 11,00,59,479.44 ",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Store Location,Profit Margin ,,,
2. Customer Demographics Analysis,,,,,,,,,Chicago," 3,31,16,441.71 ",,,
,,,,,,,,,Houston," 3,31,28,112.72 ",,,
Question: What is the revenue contribution by customer gender?,,,,,,,,,Los Angeles," 3,31,02,255.32 ",,,
,,,,,,,,,New York," 3,40,77,742.18 ",,,
Store_Location,Total Revenue,,,,,,,,Philadelphia," 3,35,29,748.84 ",,,
Female,392314348.8,,,,,,,,Phoenix," 3,35,58,125.88 ",,,
Male,386119886.1,,,,,,,,San Antonio," 3,30,17,843.83 ",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,6. Payment Method Insights,,,,
Question: How does age group affect revenue generation?,,,,,,,,,,,,,
,,,,,,,,,,,,,
